permit_number,permit_type_descr,permit_subtype_descr,date_entered,construction_cost,address,city,state,zip,contact,ivr_tracking_number,purpose,lat,lon,category,type_subtype
T2020030510,Building Residential - New,Single Family Residence,2020-05-14,600000.0,328  HARVARD AVE,NASHVILLE,TN,37205,Jadore Luxury Homes,3818149,"to construct a new home for about $600,000 for total cost.  MHZC must review application.  separate permit required for demolition permit.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.13787,-86.833145,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030454,Building Residential - New,Single Family Residence,2020-05-14,,4513B  GRANNY WHITE PIKE,NASHVILLE,TN,37204,HYDE CONSTRUCTION GROUP LLC,3818046,"to construct 4085SF single family residence with 442SF garage and 280Sf porches. 5' min. side setback, 20' min. rear setback, front setback at over 120' per avg. unit 1 of 2. lot coverage is 2289SF of max 8528SF lot coverage. not to be over any easements. Max height 3 stories or 45�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.092206,-86.80193299999999,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030514,Building Residential - New,Single Family Residence,2020-05-14,,3703B  LEALAND LN,NASHVILLE,TN,37204,POLSTON & POLSTON CONSTRUCTION INC,3818197,"to construct 3096SF single family residence with 496SF garage and 394Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 40' per table. unit 1 of 2. lot coverage is 2261SF of max 6003SF lot coverage. not to be over any easements. Max height 3 stories or 34.3�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.108003000000004,-86.788475,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030393,Building Residential - New,Single Family Residence,2020-05-14,,1525  14TH AVE N,NASHVILLE,TN,37208,floyds construction,3817868,"Residential Home, 1428 sq. ft., One story home. 1525 14th ave N. Nashville, TN.  REJECTED: APPLICANT HAS NOT SUBMITTED REQUIRED STAMPED CONTEXTUAL SITE PLAN IN ACCORDANCE WITH METRO COUNCIL BILL 2014-725 REQUIRED FOR PERMIT APPLICATION PROCESSING. THIS APPLICATION WILL BE CANCELLED.",36.175048,-86.803638,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030508,Building Residential - New,Single Family Residence,2020-05-14,,3703B  LEALAND LN,NASHVILLE,TN,37204,POLSTON & POLSTON CONSTRUCTION INC,3818182,"to construct 3096SF single family residence with 496SF garage and 394Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 40' per table. unit 1 of 2. lot coverage is 2433SF of max 6003SF lot coverage. not to be over any easements. Max height 3 stories or 37.1�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.108003000000004,-86.788475,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030082,Building Residential - New,Single Family Residence,2020-05-13,,418B  ROSEBANK AVE,NASHVILLE,TN,37206,BETHESDA CONSTRUCTION LLC,3816931,Build single family dwelling,36.18656,-86.719501,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030008,Building Residential - New,Single Family Residence,2020-05-13,,418B  ROSEBANK AVE,NASHVILLE,TN,37206,BETHESDA CONSTRUCTION LLC,3816935,"parent parcel is map 83-4 parcel 192, is zoned R10, contains 39,640 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizonal property line regime duplex with 2481 sf living area and 921 sf attached garage/porch areas.  units detached.  max allowed height is 45' three floors max.  min required distance between structures is 6' min with no bump outs.  unit B is rear unit,  5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.18656,-86.719501,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030113,Building Residential - New,Single Family Residence,2020-05-13,,2706B  BARCLAY DR,NASHVILLE,TN,37206,MAKER CONSTRUCTION LLC,3817254,"to construct 1660SF single family residence with 267SF porches. 5' min. side setback, 20' min. rear setback, front setback at 42.9' per avg. not to be over any easements. lot coverage is 1098SF of max coverage 3510SF. Maximum height is 31.8' per contextual average.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.171931,-86.72153399999999,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030101,Building Residential - New,Single Family Residence,2020-05-13,,709  TRAL ST,NASHVILLE,TN,37208,"JACKSON, J D CONTRACTNG CO",3817221,"to construct 2140SF single family residence with 250SF garage and 352Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 20' per table. unit 1 of 2. lot coverage is 974SF of max 3607SF lot coverage. not to be over any easements. Max height 3 stories or 45�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",47.072339,-109.43141200000001,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020030092,Building Residential - New,Single Family Residence,2020-05-13,,707  TRAL ST,NASHVILLE,TN,37208,"JACKSON, J D CONTRACTNG CO",3817200,"to construct 2140SF single family residence with 250SF garage and 352Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 20' per table. unit 1 of 2. lot coverage is 974SF of max 3607SF lot coverage. not to be over any easements. Max height 3 stories or 45�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",29.134519,-98.16588,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029958,Building Residential - New,Single Family Residence,2020-05-12,,1810  KNOWLES ST,NASHVILLE,TN,37208,Bradley Touch,3816867,The home was blown down by the storm. We are rebuilding.  REJECTED: APPLICANT HAS NOT PROVIDED REQUIRED CONTEXTUAL SITE PLAN REQUIRED FOR PERMIT PROCESSING.  APPLICANT IS REQUIRED TO RESU8BMIT APPLICATION WITH REQUIRED CONTEXTUAL SITE PLAN.,36.172258,-86.808533,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029873,Building Residential - New,Single Family Residence,2020-05-12,,3216  LINCOLN AVE,NASHVILLE,TN,37218,BUILD TRUST HOMES LLC,3816709,"parent parcel is map 70-9 parcel 213, is zoned R10, contains 17,024 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizonal property line regime duplex with 1758 sf living area and attached garage.  units detached.  min required distance between structures is 6' min with no bump outs. max allowed height is 45' three floors max.  corner lot.  unit a already exists.  unit B is rear unit.  20' min rear s/b; 10' min side street s/b; 5' min interior side s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.201199,-86.828758,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029875,Building Residential - New,Single Family Residence,2020-05-12,,82  FAIN ST,NASHVILLE,TN,37210,joseph martin,3816715,"to construct 2112SF single family residence with 539SF garage and 192SF porches. 5' min. right side setback, 20' left side setback, 20' min. rear setback, front setback at 20' per table. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.151778,-86.75851,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029797,Building Residential - New,Single Family Residence,2020-05-12,,4412  PROVIDENCE HTS,NASHVILLE,TN,37211,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3816458,to construct a 16 x 25 detached storage building to rear of residence.  not to be burned on lot.  max allowed height is 16'.  10' min rear s/b; 3' min side s/b.,36.073569,-86.726316,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029774,Building Residential - New,"Accessory Structure, Garage",2020-05-12,,631  JAMES AVE  2,NASHVILLE,TN,37209,Travis Gates,3816348,"to construct a 22 x 24 detached garage to rear of residence.  not to be used for living or commercial purposes.  UZO.  max allowed knee wall height is 16'.  10' min rear s/b; 3' min side s/b;  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.160454,-86.875299,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Garage"
T2020029296,Building Residential - New,Single Family Residence,2020-05-11,,5102  BUENA VISTA PIKE,NASHVILLE,TN,37218,ACKLEN PROPERTY GROUP LLC,3815443,"to construct a single family residence with 2082 sf living area and 576 sf attached garage.  critical lot per recorded sub plat.  30' min front s/b; 10' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.234353000000006,-86.826206,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029302,Building Residential - New,Single Family Residence,2020-05-11,,5106  BUENA VISTA PIKE,NASHVILLE,TN,37218,ACKLEN PROPERTY GROUP LLC,3815462,"to construct a single family residence with 2082 sf living area and 576 sf attached garage.  critical lot per recorded sub plat.  30' min front s/b; 10' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.234614,-86.826353,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029389,Building Residential - New,"Accessory Structure, Carport",2020-05-11,,4808A  KENTUCKY AVE,NASHVILLE,TN,37209,SIMONS PROPERTIES LLC,3815622,"to construct 400SF detached garage to the rear of existing single family residence. 3' min. side setback, 10' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to eave line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.159955,-86.845853,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Carport"
T2020029390,Building Residential - New,Single Family Residence,2020-05-11,,1281  OLD HICKORY BLVD,BRENTWOOD,TN,37027,WHITE PINES BUILDING GROUP LLC,3815625,"to construct unit A of proposed HPR with 5200 sf living area, 726 sf attached garage and 250 sf porch areas.  units detached.  max allowed height is three floors 45' max.  min required distance between structures is 6' min with no bump outs.  80' min front s/b; 15' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.041542,-86.823311,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029396,Building Residential - New,"Accessory Structure, Carport",2020-05-11,,4808B  KENTUCKY AVE,NASHVILLE,TN,37209,SIMONS PROPERTIES LLC,3815637,"to construct 400SF detached garage to the rear of existing single family residence. 3' min. side setback, 10' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to eave line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.159955,-86.845853,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Carport"
T2020029034,Building Residential - New,Single Family Residence,2020-05-08,,3418  OLD FRANKLIN RD,ANTIOCH,TN,37013,Fadi Ezzeir,3814865,"to construct 2680SF single family residence with 454SF garage and 176SF porches. 20' min. side setback, 20' min. rear setback, front setback at over 100' in plated build zone. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.031489,-86.660311,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020029098,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2020-05-08,,500  CHEYENNE BLVD,MADISON,TN,37115,luis soto,3815014,"to construct 360SF detached shed to the rear of existing single family residence. not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to eave line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.260445000000004,-86.675934,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Shed / Storage Bldg"
T2020028890,Building Residential - New,Single Family Residence,2020-05-07,,816  BRIDGE CREEK LN,ANTIOCH,TN,37013,Trendmamark Construction,3814521,"To construct a new single family residence at 1550 square feet, garage at 420 square feet, porches at 420 square feet and a deck at 120 square feet.  corner lot.  20' min front s/b; 20' min side street s/b; 5' min interior side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.069435999999996,-86.654344,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020028415,Building Residential - New,Single Family Residence,2020-05-06,,5700A  BURGESS AVE,NASHVILLE,TN,37209,NOSS CONSTRUCTION INCORPORATED,3813534,"to construct 2050SF single family residence with 462SF garage and 212Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 35.6' per avg. unit 1 of 2. lot coverage is 912SF of max 5051SF lot coverage. not to be over any easements. Max height 3 stories or 36�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.145091,-86.859574,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020028467,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2020-05-06,,854  PRESTON RD,ANTIOCH,TN,37013,"MARTINEZ, CAROLINA & FRIAS, GUADALUPE & MARTINEZ, RENE",3813681,"TO CONSTRUCT 14�X14� DETACHED SHED TO REAR OF RESIDENCE� �10� MINIMUM SIDE SETBACK� �10� MINIMUM REAR SETBACK� � MAXIMUM ALLOWED HEIGHT 16� TO PEAK� �NOT TO BLOCK OR OBSTRUCT ANY EASEMENTS ON PROPERTTY� �NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES� �

** MAXIMUM ALLOWED HEIGHT ABOVE 16' TO 24� TO PEAK WITH 20� MINIMUM SIDE SETBACK AND 20� MINIMUM REAR SETBACK***",36.027578000000005,-86.662778,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Shed / Storage Bldg"
T2020028378,Building Residential - New,Single Family Residence,2020-05-06,300000.0,1002  MONROE ST,NASHVILLE,TN,37208,Superior Capital llc,3813429,"Building a duplex, single family per side",36.174393,-86.79601600000001,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027952,Building Residential - New,Single Family Residence,2020-05-04,50.0,510  HEMSTEAD ST,NASHVILLE,TN,37209,Albert Wilson,3812416,move a house to 510 hemstead.  REJECTED:  APPLICANT HAS NOT PROVIDED REQUIRED SURVEY CONTEXTUAL SITE AS REQUIRED BY METRO COUNCIL BILL 2014-725.  THIS APPLICATION WILL BE CANCELLED.,36.1536,-86.85548100000001,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027798,Building Residential - New,Single Family Residence,2020-05-04,,2847  SUGARTREE RD,NASHVILLE,TN,37215,"Legacy Homes of TN, LLC",3812095,"to construct a single family residence with 5672 sf living area, 875 sf attached garage and 571 sf deck/porch areas. 58.21' min front s/b; 10' min side s/b; 20' min rear s/b. must comply with tree regulations one new two inch tree for every 30' road frontage. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.109865,-86.825724,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027594,Building Residential - New,Single Family Residence,2020-05-01,,1503  60TH AVE N,NASHVILLE,TN,37209,WHITE PINES BUILDING GROUP LLC,3811735,"to construct 2600SF single family residence with 324SF garage and 50Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 20' per table. unit 1 of 2. lot coverage is 1583SF of max 3667SF lot coverage. not to be over any easements. Max height 3 stories or 31.2�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.16507,-86.85888299999999,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027519,Building Residential - New,Single Family Residence,2020-05-01,,8170  CHARLOTTE PIKE,NASHVILLE,TN,37221,DREES PREMIER HOMES INC,3811488,"to construct a single family residence with 4878 sf living area and 1191 sf garage/porch areas.  parcel is zoned R40 and contains 10.14 acres.  120' min front s/b; 15' min side s/b.  20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.095481,-86.971067,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027588,Building Residential - New,Single Family Residence,2020-05-01,,1501  60TH AVE N,NASHVILLE,TN,37209,WHITE PINES BUILDING GROUP LLC,3811726,"to construct 2600SF single family residence with 324SF garage and 50Sf porches. 5' min. side setback, 20' min. rear setback, front setback at 20' per table. unit 1 of 2. lot coverage is 1583SF of max 3667SF lot coverage. not to be over any easements. Max height 3 stories or 31.2�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.165084,-86.85887,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027535,Building Residential - New,Single Family Residence,2020-05-01,,1601  HEIMAN ST,NASHVILLE,TN,37208,"RK JUNIOR CONTRACTING SERVICES, LLC",3811549,"to construct 2328SF single family residence with 662SF garage and 284SF porches porches. 5' min. side setback, 20' min. rear setback, front setback at 29.6' per avg. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.172302,-86.80373399999999,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027439,Building Residential - New,Single Family Residence,2020-05-01,0.0,1029  ALICE ST,NASHVILLE,TN,37218,ORCA BUILDING GROUP LLC,3811343,"THIS IS FOR UNIT B, UNIT A ALREADY HAS BEEN ASSIGNED A TRACKER 2020026967.  parent parcel is map 70-7 parcel 41, is zoned R8 and contains 9000 sf lot area. this permit to construct unit A of proposed horizonal property line regime duplex with 2407 sf living area, 266 sf attached garage and 446 sf porch areas. units attached. max allowed height is three floors 45' max. 34' min front s/b; 5' min side s/b; 20' min rear s/b. must comply with tree regulations one new two inch tree for every 30' road frontage. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. must comply fully with metro council bills 2014-725 and 2014-770.",36.203065,-86.81185699999999,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027572,Building Residential - New,Single Family Residence,2020-05-01,,920 W EASTLAND AVE,NASHVILLE,TN,37206,"MARTIN, PAUL BUILDERS LLC",3811683,"to construct 3297SF single family residence with 654SF porches. 5' min. side setback, 20' min. rear setback, front setback at 25.1' per avg. not to be over any easements.
MUST COMPLY WITH HISTORIC COMMISSION
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.185084,-86.756186,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
T2020027577,Building Residential - New,"Accessory Structure, Garage",2020-05-01,,920 W EASTLAND AVE,NASHVILLE,TN,37206,"MARTIN, PAUL BUILDERS LLC",3811704,"to construct 720SF detached garage to the rear of existing single family residence. 3' min. side setback, 10' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to eave line.
MUST COMPLY WITH HISTORIC COMMISSION
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.185084,-86.756186,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Garage"
