permit_number,permit_type_descr,permit_subtype_descr,date_entered,construction_cost,address,city,state,zip,contact,ivr_tracking_number,purpose,lat,lon,category
T2020023903,Building Residential - New,Single Family Residence,2020-04-15,,1204B  KELLER AVE,NASHVILLE,TN,37216,"MCDONALD, ROBERT BRANDON GENERAL CONTRACTOR",3803174,"to construct 1495SF single family residence with 160Sf porches. 5' min. side setback, 20' min. rear setback, rear unit of hpr. unit 1 of 2. lot coverage is 1011SF of max 7481SF lot coverage. not to be over any easements. Max height 3 stories or 27�1 .
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.203415,-86.734351,Residential
T2020023515,Building Residential - New,Single Family Residence,2020-04-14,,1112B  WADE AVE,NASHVILLE,TN,37203,"BATES, DANIEL ELI",3802277,"parent parcel is map 105-5 parcel 267 and is zoned RM20. this permit to construct unit B of proposed horizonal property line regime duplex with 2387 sf living area and 154 sf porch areas.  units detached.  max allowed height is 44.25'.  min required distance between structures is 6' min with no bump outs.  30' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.136726,-86.787546,Residential
T2020023511,Building Residential - New,Single Family Residence,2020-04-14,,1112A  WADE AVE,NASHVILLE,TN,37203,"BATES, DANIEL ELI",3802264,"parent parcel is map 105-5 parcel 267 and is zoned RM20. this permit to construct unit A of proposed horizonal property line regime duplex with 2563 sf living area, 289 sf attached garage and 393 sf porch areas.  units detached.  max allowed height is 40.5'.  min required distance between structures is 6' min with no bump outs.  30' min front s/b; 5' min side s/b; 20' min rear s/b.  min required distance between structures is 6' min with no bump outs.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.136726,-86.787546,Residential
T2020023174,Building Residential - New,Single Family Residence,2020-04-13,,2604B  NELDIA CT,NASHVILLE,TN,37206,"ODOM CONSTRUCTION & REMODELING, LLC",3801249,"To construct 2604 B Neldia Court of new attached HPR/duplex family residence with 2092 sq ft of living space, 279 sq ft garage, and 69 sq ft of porches and decks. Minimum 5 ft side setbacks, 30.9 ft minimum front setback and 20 ft minimum rear setback.   Must conform to all easements on property. Maximum height of 3 stories within 45 ft from natural grade. Maximum building coverage on total parcel not to exceed 50%..Must conform with all easements on property... Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. Sidewalks ARE required for this project because the frontage of this parcel is within a 1/4 mile of a Nashville Next Center. You are eligible to contribute to the Pedestrian Benefit Zone in-lieu of construction. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.",36.19723,-86.737667,Residential
T2020023164,Building Residential - New,Single Family Residence,2020-04-13,,2604A  NELDIA CT,NASHVILLE,TN,37206,"ODOM CONSTRUCTION & REMODELING, LLC",3801233,"To construct 2604 A Neldia Court of new attached HPR/duplex family residence with 2148 sq ft of living space, 312 sq ft garage, and 93 sq ft of porches and decks. Minimum 5 ft side setbacks, 30.9 ft minimum front setback and 20 ft minimum rear setback.   Must conform to all easements on property. Maximum height of 3 stories within 45 ft from natural grade. Maximum building coverage on total parcel not to exceed 50%..Must conform with all easements on property... Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. Sidewalks ARE required for this project because the frontage of this parcel is within a 1/4 mile of a Nashville Next Center. You are eligible to contribute to the Pedestrian Benefit Zone in-lieu of construction. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.",36.19723,-86.737667,Residential
T2020023237,Building Residential - New,Single Family Residence,2020-04-13,,1704  BERNARD AVE,NASHVILLE,TN,37212,SOUTHERN BUILD LLC,3801440,"to construct a single family residence with 3632 sf living area, 570 sf attached garage and porch areas.  20' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.132,-86.796605,Residential
T2020022893,Building Residential - New,Single Family Residence,2020-04-10,,125  KEYWAY DR,NASHVILLE,TN,37205,jerry owens construction,3800534,"no additional work, just a single family home.  REJECTED APPLICANT HAS ALREADY BEEN APPROVED ON APPLICANTION CARN T2020022468.  APPLICANT STILL NEEDS TO PROVIDE LIVING AREA, GARAGE AND PORCH AREA SQUARE FOOTAGE INFORMATION FOR APPLICATION CARN T2020022468.",36.102135,-86.874637,Residential
T2020022567,Building Residential - New,Single Family Residence,2020-04-09,,2010D  CEDAR LN,NASHVILLE,TN,37212,PALMETTO CONSTRUCTION LLC,3799673,"To construct 2010 D Cedar Lane with 3614 sq ft of living, 532 sq ft of garage, and 575 sq ft of porches and decks. Per RM20 Zoning, 5 ft minimum front setback, Minimum 10 ft setback between structures, 5 ft side setbacks, and 20 ft rear setback. Must comply with all easements on parcel. Maximum or 3 stories and height of 1.5 to width ratio  from natural grade. Maximum building coverage on total parcel not to exceed 60%..Must conform with all easements on property... Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.Sidewalks are NOT required for this project because it does not have frontage on a public Right-of-Way. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.",36.123196,-86.80396,Residential
T2020022580,Building Residential - New,Single Family Residence,2020-04-09,,2010C  CEDAR LN,NASHVILLE,TN,37212,PALMETTO CONSTRUCTION LLC,3799707,"To construct 2010 C Cedar Lane with 3614 sq ft of living, 532 sq ft of garage, and 575 sq ft of porches and decks. Per RM20 Zoning, 5 ft minimum front setback, Minimum 10 ft setback between structures, 5 ft side setbacks, and 20 ft rear setback. Must comply with all easements on parcel. Maximum or 3 stories and height of 1.5 to width ratio  from natural grade. Maximum building coverage on total parcel not to exceed 60%..Must conform with all easements on property... Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.Sidewalks are NOT required for this project because it does not have frontage on a public Right-of-Way. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.",36.123196,-86.80396,Residential
T2020022257,Building Residential - New,Detached Accessory Dwelling Unit,2020-04-08,246538.0,1309B  WOODLAND ST,NASHVILLE,TN,37206,METRO CONSTRUCTION REHAB INC,3798959,"parent parcel has base zone of R6, contains 7300 sf lot area and is in a pre 1984 recorded subdivision.  per MHZC preservation permit 2019033833, to construct a detached DADU residence with 600 sf living area.  MHZC and MDHA overlays.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.177119,-86.746265,Residential
T2020022045,Building Residential - New,Single Family Residence,2020-04-07,,125  KEYWAY DR,NASHVILLE,TN,37205,jerry owens construction,3798429,build a single family home on the lot at 125 keyway drive. REJECTED: APPLICANT HAS NOT SUBMITTED REQUIRED CONTEXTUAL SITE PLAN REQUIRED BY METRO COUNCIL BILL 2014-725.  APPLICANT IS REQUIRED TO RESUBMIT APPLICATION WITH REQUIRED CONTEXTUAL SITE PLAN.,36.102135,-86.874637,Residential
T2020022105,Building Residential - New,Detached Accessory Dwelling Unit,2020-04-07,,1104B  PARIS AVE,NASHVILLE,TN,37204,PALMETTO CONSTRUCTION LLC,3798596,"to construct 1382SF 2 story detached accessory dwelling (691SF living space, 691SF garage space).
MUST COMPLY WITH HCN2019067219
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.121548,-86.788823,Residential
T2020021687,Building Residential - New,"Accessory Structure, Garage",2020-04-06,750000.0,4404  LINDAWOOD DR,NASHVILLE,TN,37215,SABIA CONSTRUCTION LLC,3797627,"Construct a single-story pool house with 492 sq. ft. of heated and cooled space and 200 sq. ft. deck. NOT A DADU AND NOT TO BE USED AS A DWELLING. RESTRICTIVE COVENANT TO BE FILED BEFORE ANY TRADE PERMITS ISSUE. 20' side street setback and 3' rear setback required, see attached. Height not to exceed 1 story or 16'. Must comply with all easements.

No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.

Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",36.093276,-86.83292,Residential
T2020021639,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2020-04-06,,6116  BRESSLYN RD,NASHVILLE,TN,37205,melinda perry,3797531,"to construct 192SF detached shed to the rear of existing single family residence. 7.5' min. side setback, 10' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to ridge line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.109951,-86.879738,Residential
T2020021837,Building Residential - New,Single Family Residence,2020-04-06,,3757  WESTPORT DR,NASHVILLE,TN,37218,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3797968,"To construct a new single family residence with 3042 sq. ft. of living space, 580 sq. ft. garage, and 465 sq. ft. of porches and/or decks. Minimum: ____ street/front contextual setback; 10� side setback(s); and, 20� rear setback. Must conform to all easements on property. Shall not exceed three stories. Total building coverage on parcel not to exceed 35%. POC: Abner Rodgers, 615-308-2569. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor�s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit. Individual single and two-family lot tree density standards apply pursuant to M.C.L. 17.24.100, including at least one two-inch caliper tree for each thirty feet of lot frontage (or portion thereof), excluding alley frontage. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage. No construction and/or demolition waste shall be stored on the property all such waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.",36.242348,-86.835921,Residential
T2020021403,Building Residential - New,"Accessory Structure, Garage",2020-04-03,,119B  DONALD ST,NASHVILLE,TN,37207,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3796706,"Construct a 720 sq. ft. detached garage. Shall not exceed one story or 16� in height. Not to be used as a dwelling or for commercial purpose, restrictive covenant required to be filed before any trade permits issue. POC: Aaron Vaughn, 615-440-8732. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor�s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit.

No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.

Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",36.210382,-86.762651,Residential
T2020021307,Building Residential - New,Single Family Residence,2020-04-02,0.0,808  CERRITO LNDG,OLD HICKORY,TN,37138,Danny Roark Custom Built,3796472,"Permit to construct a single family residence with 4065 sq ft of living, 491 sq ft garage, and 311 sq ft of porches and decks.  48' min front s/b; 10' min left side s/b; 5' min right side s/b; 20 min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.247388,-86.63473,Residential
T2020019643,Building Residential - New,Single Family Residence,2020-03-26,2139.0,903B  MARILYN RD,NASHVILLE,TN,37209,LIFESTYLE HOME BUILDERS INC,3792302,"To construct a new HPR/duplex single family residence (Unit B) with 2139 sq. ft. of living space and 192 sq. ft. of porches and/or decks. Minimum: 41.5  street/front contextual setback; 5 ft. side setback(s); and, 20 ft. rear setback. PUBLIC WORKS TO REVIEW DRIVEWAYS. Must conform to all easements on property. Shall not exceed three stories with a maximum height of 45 ft. Height cannot exceed a ratio of 1.0 horizontal to 1.5 vertical. Total building coverage on parcel not to exceed 50%. Individual single and two-family lot tree density standards apply pursuant to M.C.L. 17.24.100, including at least one two-inch caliper tree for each thirty feet of lot frontage (or portion thereof), excluding alley frontage. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage. No construction and/or demolition waste shall be stored on the property all such waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.",36.161525,-86.86119,Residential
T2020019234,Building Residential - New,"Multifamily, Townhome",2020-03-25,,205  STONECREST CIR,NASHVILLE,TN,37209,VASTLAND NORTHCREST DEVELOPMENT LLC,3791446,"To construct 2011Sf single family residence with 251SF garage and 330 SF porch. Master permit 2016028354.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.111394,-86.917869,Residential
T2020019260,Building Residential - New,"Multifamily, Townhome",2020-03-25,,207  STONECREST CIR,NASHVILLE,TN,37209,VASTLAND NORTHCREST DEVELOPMENT LLC,3791494,"To construct 1977Sf single family residence with 251SF garage and 330 SF porch. Master permit 2016028354.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.111393,-86.917868,Residential
T2020019309,Building Residential - New,Single Family Residence,2020-03-25,242480.0,510  HEMSTEAD ST,NASHVILLE,TN,37209,"SCULLY, ADAM CONSTRUCTION, LLC",3791578,"To construct a new HPR single family residence with 2,000 sq ft of living space, 288 sq ft of decks and/or porches.",36.1536,-86.855481,Residential
T2020019257,Building Residential - New,"Multifamily, Townhome",2020-03-25,,203  STONECREST CIR,NASHVILLE,TN,37209,VASTLAND NORTHCREST DEVELOPMENT LLC,3791484,"To construct 1977Sf single family residence with 251SF garage and 330 SF porch. Master permit 2016028354.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.111395,-86.917869,Residential
T2020019231,Building Residential - New,"Multifamily, Townhome",2020-03-25,,201  STONECREST CIR,NASHVILLE,TN,37209,VASTLAND NORTHCREST DEVELOPMENT LLC,3791441,"To construct 2011Sf single family residence with 251SF garage and 330 SF porch. Master permit 2016028354.  Not to be over any easements. Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.111397,-86.91787,Residential
T2020018669,Building Residential - New,"Accessory Structure, Garage",2020-03-23,,1103B  2ND AVE S,NASHVILLE,TN,37210,DEDICATED HVAC & ELECTRIC LLC,3790216,TO CONSTRUCT 24�X21� DETACHED CARPORT TO REAR OF RESIDENCE� �NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES� �3� MINIMUM SIDE SETBACK� �10� MINIMUM REAR SETBACK� �MAXIMUM ALLOWED KNEE WALL HEIGHT 16'� � NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY� �,36.146878,-86.765422,Residential
T2020018640,Building Residential - New,Single Family Residence,2020-03-23,555000.0,1914  CASTLEMAN DR,NASHVILLE,TN,37215,"TRACE VENTURES HOLDINGS, LLC",3790004,"Construct an approximately 3400 square foot new single family residence.  HPR.  parent parcel is map 131-7 parcel 8, is zoned R20, contains 20909 sf lot area and is in a pre 1984 recorded subdivision.  units detached.  max allowed height is 45' three floors max.  min required distance between structures is 6' min with no bump outs.  70.7' min front s/b; 10' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.096706,-86.811083,Residential
T2020018639,Building Residential - New,Single Family Residence,2020-03-23,562500.0,1916  CASTLEMAN DR,NASHVILLE,TN,37215,"TRACE VENTURES HOLDINGS, LLC",3790005,"Construct an approximately 3700 square foot new single family residence.  HPR.  parent parcel is map 131-7 parcel 8, is zoned R20, contains 20,909 sf lot area and is in a pre 1984 recorded subdivision.  units detached.  max allowed height is 45' three floors max.  70.7' min front s/b; 10' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.097096,-86.809583,Residential
T2020018204,Building Residential - New,"Multifamily, Condominium 3&4 Unit Bldg",2020-03-20,350000.0,904  RAMSEY ST,NASHVILLE,TN,37206,ORCA BUILDING GROUP LLC,3788715,"Build a 4 unit residential structure
POC DANIEL OWEN",36.177385,-86.7568,Residential
T2020017864,Building Residential - New,Single Family Residence,2020-03-19,,84  ANTIOCH PIKE,NASHVILLE,TN,37211,"MCKINNIS, SEAN",3787514,"Waiver Decision Approve with Conditions: Pay to the in lieu fund for the E/W portion and waive for N/S segment of frontage. To construct 84 Antioch Pike with 1887sqft of living space and 185sqft of porches and decks.  94.7' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.099966,-86.718167,Residential
T2020017645,Building Residential - New,"Accessory Structure, Garage",2020-03-18,,1614  PORTER AVE,NASHVILLE,TN,37206,JOn Bryant,3786667,"to construct 160SF detached garage (will be conditioned space) to the rear of existing single family residence. 3' min. side setback, 3' min. rear setback, not to be over any easements.
NOT TO BE USED AS LIVING SPACE OR FOR COMMERCIAL PURPOSES
 Max height 16� to ridge line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.196571,-86.724656,Residential
T2020017430,Building Residential - New,Single Family Residence,2020-03-17,250000.0,2404A  MIDDLE ST,NASHVILLE,TN,37208,"PARADIGM BUILDING GROUP, L.L.C",3785844,"Construction of HPR single family residence.  parent parcel is map 81-3 parcel 143, is zoned R6, contains 6750 sf lot area and is in a pre 1984 recorded subdivision.  units attached.  max allowed height is 45' three floors max.  31.95' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.190961,-86.809648,Residential
T2020017435,Building Residential - New,Single Family Residence,2020-03-17,250000.0,2404B  MIDDLE ST,NASHVILLE,TN,37208,"PARADIGM BUILDING GROUP, L.L.C",3785899,"Construction of HPR single family residence.  parent parcel is map 81-3 parcel 143, is zoned R6, contains 6750 sf lot area and is in a pre 1984 recorded subdivision.  units attached.  max allowed height is 45' three floors max.  31.95' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. must comply fully with metro council bills 2014-725 and 2014-770.",36.190961,-86.809648,Residential
T2020017094,Building Residential - New,Single Family Residence,2020-03-16,,1506  WAYNE DR,NASHVILLE,TN,37206,IMPACT CONSTRUCTION SERVICES INC.,3784978,"parent parcel is map 72-16 parcel 191, is zoned R10, contains 11,326 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizonal property line regime duplex with 2640 sf living area, 462 sf attached garage and 384 sf porch areas.  units detached.  max allowed height is 45' three floors max.  45.515' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.194169,-86.716158,Residential
T2020017087,Building Residential - New,Single Family Residence,2020-03-16,,1504  WAYNE DR,NASHVILLE,TN,37206,IMPACT CONSTRUCTION SERVICES INC.,3784945,"parent parcel is map 72-16 parcel 191, is zoned R10, contains 11,326 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit A of proposed horizonal property line regime duplex with 2640 sf living area, 462 sf living area and 384 sf porch areas.  units detached.  max allowed height is 45' three floors max.  44.515' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. must comply fully with metro council bills 2014-725 and 2014-770.",36.193616,-86.716218,Residential
T2020016577,Building Residential - New,"Accessory Structure, Garage",2020-03-13,,4916B  MICHIGAN AVE,NASHVILLE,TN,37209,SUBURBAN COWBOYS LLC,3783196,"to construct a 20 x 20 detached garage to rear of residence.  not to be used for living or commercial purposes.  UZO.  max allowed knee wall height is 16'.  10' min rear s/b; 3' min side s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.158826,-86.846728,Residential
T2020016702,Building Residential - New,Single Family Residence,2020-03-13,,302B  VIVELLE AVE,NASHVILLE,TN,37210,RODDICK CONSTRUCTION LLC,3783591,"parent parcel is map 106-13 parcel 81, is zoned R6, contains 7500 sf living area and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizonal property line regime duplex with 2296 sf living area, 250 sf attached garage and 170 sf porch area.  units detached.  max allowed height is 25.5'.  min required distance between structures is 6' min with no bump outs.  38.6' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. must comply fully with metro council bills 2014-725 and 2014-770.",36.126733,-86.749878,Residential
T2020016582,Building Residential - New,"Accessory Structure, Garage",2020-03-13,,4918B  MICHIGAN AVE,NASHVILLE,TN,37209,SUBURBAN COWBOYS LLC,3783211,"to construct a 20 x 20 detached garage to rear of residence.  not to be used for living or commercial purposes.  UZO.  max allowed knee wall height is 16'.  10' min rear s/b; 3' min side s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.158825,-86.846777,Residential
