date_submitted,application_type_descr,mpc_case_number,ordinance_number,status,mpc_meeting_date,mpc_action,project_name,location,reviewer,case_descr,applicant,applicant_representative,latitude,longitude
2019-12-03,Rezoning,2020Z-015PR-001,BL2020-214,CNCLACTIVE,2020-02-13,Approve with Conditions,,1201 WATTS TER 37209,Joren Dunnavant,"A request to rezone from R40 to R6 zoning for property located at 1201 Watts Terrace, at the southeast corner of Watts Terrace and Watts Lane (0.81 acres), requested by Dale and Associates, applicant; 1 Public Homes LLC, owner.",Dale and Associates,Roy Dale,36.14296737300003,-86.86848470099994
2019-11-25,Rezoning,2020Z-006PR-001,BL2020-209,CNCLACTIVE,2020-02-13,Approved by MPC,,321 W TRINITY LN 37207,Logan Elliott,"A request to rezone from CL and OR20 to MUG-A zoning for properties located at 321, 325 and 329 West Trinity Lane and a portion of West Trinity Lane (unnumbered), at the northeast corner of Monticello Drive and West Trinity Lane (5.16 acres), requested by Trinity Lane Development Group Inc., applicant; Talbots View LLC, owner.",Trinity Lane Development Group LLC,Jamie D. Isabel Sr.,36.20751331300004,-86.78327601699993
2019-03-27,Rezoning,2019Z-078PR-001,,PENDING,2020-01-29,,,0 33RD AVE N 37209,Jason Swaggart,"A request to rezone from R6 to OR20 zoning for property located at 33rd Avenue North (unnumbered), approximately 260 feet north of Trevor Street (0.11 acres), requested by Mark E. Storolis and Isabel C. Storolis, applicants and owners.",Mark E. Storolis,Mark E. Storolis,36.155229417000044,-86.82380226799995
2019-12-02,Rezoning,2020Z-012PR-001,BL2020-182,CNCLACTIVE,2020-01-16,Approved by MPC,,0 CUMBERLAND BND 37228,Abbie Rickoff,"A request to rezone from IWD to MUG zoning for properties located at 200 Cumberland Bend and Cumberland Bend (unnumbered), approximately 730 feet east of Great Circle Road (7.13 acres), requested by Kimley-Horn, applicant; 200 Cumberland Bend, LLC, owner.",Kimley-Horn,Josh Rowland,36.19264891500006,-86.78557746499996
2019-12-03,Rezoning,2020Z-014PR-001,BL2020-181,CNCLACTIVE,2020-01-16,Approved by MPC,,1004 44TH AVE N 37209,Joren Dunnavant,"A request to rezone from CS to RS3.75 zoning for property located at 1004 44th Avenue North, approximately 50 feet north of Albion Street (0.10 acres), requested by Dale and Associates, applicant; Regal Homes, owner.",Dale and Associates,Roy Dale,36.16144765800004,-86.83992408099995
2019-10-02,Rezoning,2019Z-160PR-001,BL2020-174,CNCLACTIVE,2020-01-16,Approved by MPC,,5215 CENTENNIAL BLVD 37209,Amelia Lewis,"A request to rezone from CS to MUL-A zoning for properties located at 5301, 5305, 5307, 5309 and 5311 California Avenue, and 5215 Centennial Boulevard, at the southeast corner of California Avenue and 54th Ave North (1.11 acres), requested by The Establishment Group Music City, applicant; Guardian Electric Corp., owner.",The Establishment Music City,Chad Kneller,36.16395372700004,-86.85307715899995
2019-12-03,Rezoning,2020Z-025PR-001,BL2020-180,CNCLACTIVE,2020-01-16,Approved by MPC,THE SILOS,4900 CENTENNIAL BLVD 37209,Patrick Napier,"A request to rezone from IR to MUL-A zoning for property located at 4900 Centennial Boulevard, approximately 300 feet east of 51st Avenue North (3.66 acres), requested by Silo Capital LLC, applicant and owner.",Silo Capital,Nathan Lyons and Molly Simmons,36.162967733000066,-86.84616744899996
2019-12-04,Rezoning,2020Z-017PR-001,BL2020-173,CNCLACTIVE,2020-01-16,Approved by MPC,,5423 EDMONDSON PIKE 37211,Patrick Napier,"A request to rezone from R10 to OL zoning for a portion of property located at 5423 Edmondson Pike, approximately 625 feet south of Brent Glen Place (2.5 acres), requested by Thomas and Hutton, applicant; Brian Hayes, owner.",Thomas and Hutton,Travis Todd,36.04695785900003,-86.74506533899996
2019-11-25,Rezoning,2020Z-010PR-001,BL2020-178,CNCLACTIVE,2020-01-16,Approved by MPC,,1314 CARDINAL AVE 37216,Joren Dunnavant,"A request to rezone from RS10 to R10 zoning for property located at 1314 Cardinal Avenue, approximately 175 feet west of Addine Street (0.23 acres), requested by James Aguire, applicant and owner.",James Aguire,James Aguire,36.21900344400007,-86.71529213999996
2019-10-29,Rezoning,2019Z-168PR-001,Bl2020-134,CNCLACTIVE,2019-12-12,Approved by MPC,,910 YOUNGS LN 37207,Patrick Napier,"A request to rezone from R8 to MUL-A zoning for properties located at 910 Youngs Lane and Youngs Lane (unnumbered), at the southern terminus of Roy Street (1.64 acres), requested by Arnold Homes LLC, applicant and owner.","ARNOLD HOMES, LLC",Randy Arnold,36.20414577700007,-86.80708585199993
2019-10-30,Rezoning,2019Z-172PR-001,BL2020-175,CNCLACTIVE,2019-12-12,Approved by MPC,,0 OLD FRANKLIN RD 37013,Amelia Lewis,"A request to rezone from RS10 to RM9 zoning for a portion of property located at Old Franklin Road (unnumbered), at the southeast corner of Old Franklin Road and Cane Ridge Road (38.13 acres), requested by Wood Partners, applicant; JCK Dev GP, owner.",Wood Partners,Andrew Steffens,36.02614542700008,-86.64308418999997
2019-04-24,Rezoning,2019Z-099PR-001,BL2019-61,CNCLACTIVE,2019-09-26,Approved by MPC,,2129 CLIFF DR 37218,Amelia Lewis,"A request to rezone from R8 to RM15-A zoning for properties located at 2127 and 2129 Cliff Drive, approximately 570 feet southeast of Buena Vista Pike (0.40 acres), requested by Robert Hudson, applicant; Robert Hudson, Arthur S. Yokley Sr. and Arthur S. Yokley Jr., owners.",Robert Hudson,Robert Hudson,36.19566128000002,-86.82648844899995
2019-07-31,Rezoning,2019Z-140PR-001,BL2019-28,CNCLACTIVE,2019-09-12,Approved by MPC,,807 WATTS LN 37209,Jason Swaggart,"A request to rezone from R6 to RM15-A zoning for property located at 807 and 811 Watts Lane, approximately 175 feet west of Watts Terrace (1.42 acres), requested by Land Development Solutions, applicant; Sandra B. & Gary Whitcombe, owners.",Land Development Solutions,Duane Cuthbertson,36.143010209000074,-86.86955543599998
2019-06-28,Rezoning,2019Z-131PR-001,BL2019-69,CNCLACTIVE,2019-09-12,Approved by MPC,,3413 JOHN MALLETTE DR 37218,Joren Dunnavant,"A request to rezone from RS10 to RM9-A zoning for property located at 3413 John Mallette Drive, at the southern corner of Ashton Avenue and John Mallette Drive (0.42 acres), requested by Brandon McDonald, applicant and owner.",Brandon McDonald,Brandon McDonald,36.19424877900008,-86.83693109999996
2019-07-31,Rezoning,2019Z-145PR-001,BL2019-29,CNCLACTIVE,2019-09-12,Approved by MPC,,508 FISK ST 37203,Amelia Lewis,"A request to rezone from CS and R6 to MUL-A zoning for properties located at 506 and 508 Fisk Street and 1708 Pearl Street, at the northwest corner of 17th Ave N and Pearl Street (1.31 acres), requested by Barge Design Solutions, applicant; Pearl Street Family Partners, GP, owner.",Barge Design Solutions,Kathryn Withers,36.16017636200007,-86.79963579499996
2019-04-12,Rezoning,2019Z-092PR-001,BL2019-90,CNCLACTIVE,2019-08-22,Approved by MPC,,4465 LAVERGNE COUCHVILLE PIKE 37013,Latisha Birkeland,"A request to rezone from AR2a to RS10 zoning for property located at 4465 Lavergne Couchville Pike, approximately 75 feet southwest of Rockland Trail (5.01 acres), requested by Gizachew Debele, applicant and owner.",Gizachew Debele,Gizachew Debele,36.032628053000046,-86.586846618
2019-05-24,Rezoning,2019Z-122PR-001,BL2019-22,CNCLACTIVE,2019-07-18,Approved by MPC,,365 GREAT CIRCLE RD 37228,Abbie Rickoff,"A request to rezone from IR to MUG zoning for property located at 365 Great Circle Road, at the northern terminus of Athens Way (5.0 acres), requested by Southeastern Property Acquisitions, LLC, applicant; Ebon Falcon LLC, owner.",Southeastern Property Acquisitions LLC,Chris Senn,36.19914745300008,-86.79673255399996
2019-03-26,Rezoning,2019Z-065PR-001,BL2020-275,CNCLACTIVE,2019-06-13,Approved by MPC,,1208 KATIE AVE 37207,Amelia Lewis,"A request to rezone from RS5 to R6 zoning for property located at 1208 Katie Street, approximately 220 feet north of Fern Avenue, (0.17 acres), requested by Brian and Linda Vance, applicants and owners.",Brian Vance,Brian Vance,36.19710155000007,-86.78019720999998
2019-05-01,Rezoning,2019Z-111PR-001,BL2020-315,CNCLACTIVE,2019-06-13,Approved by MPC,,2214 MONTICELLO DR 37207,Patrick Napier,"A request to rezone from CL and RS7.5 to RM20-A zoning for properties located at 2206, 2210 and 2214 Monticello Drive, at the southwest corner of Monticello Drive and Avondale Circle (0.61 acres), requested by Cream City Developments, applicant; Jea Wook Sim, Hyun Bo Sim, and Josh Hellmer, owners.",Cream City Development,Josh Hellmer,36.207951428000065,-86.78395471699997
2019-04-10,Rezoning,2019Z-090PR-001,BL2020-233,CNCLACTIVE,2019-05-23,Approved by MPC,,0 BIRCH AVE 37207,Patrick Napier,"A request to rezone from RS5 to MUN-A zoning for properties located at Birch Avenue (unnumbered) and 103 Fern Avenue, at the northeast corner of Birch Avenue and Fern Avenue (0.57 acres), requested by Duane Cuthbertson, applicant; Troy A. Fields and Stephen T. Hannah, owners.",Duane Cuthbertson,,36.19623008800004,-86.77864130699999
2018-07-31,Rezoning,2018Z-090PR-001,BL2020-217,CNCLACTIVE,2018-10-11,Approved by MPC,,0 HOBSON PIKE 37013,Jason Swaggart,"A request to rezone from RS10 to RM6 zoning for an unnumbered  property located on Hobson Pike, approximately 729 feet south of Hamilton Church Road (5.66 acres), requested by Nadine Choufani, applicant; Al Sisi Construction, owner.",Keller Williams Realty,Nadine Choufani,36.056321421000064,-86.598005023
2017-02-28,Rezoning,2017Z-040PR-001,BL2017-668,CNCLACTIVE,2017-04-13,Approved by MPC,,161 RAINS AVE 37203,Latisha Birkeland,"By changing from R6 to R6-A zoning for various properties located along Little Hamilton Avenue, Pillow Street, Rains Avenue, Mallory Street, Moore Avenue, Wingrove Avenue, Byrum Avenue,  Carvell Avenue, Neal Terrace, Allison Place, Martin Street, Stewart Place, Southgate Avenue, Hamiton Avenue, Merrit Avenue, and Wedgewood Avenue (109.3 acres), requested by Councilmember Colby Sledge, applicant; various property owners.",Metro Council,COLBY SLEDGE,36.139026465000036,-86.77067928299994
